,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
709,minjuan,https://www.lens.org/lens/orcid/0000-0001-6734-5618/scholar,4,100%,2,10,1,"['Biology , Cell biology , Adipose tissue , Cancer research , Competing endogenous RNA , Regeneration (biology) , Stem cell , Three prime untranslated region , Adipogenesis , Alopecia areata']",no current information
710,Xuliang Zhang,https://www.lens.org/lens/orcid/0000-0001-6450-0408/scholar,1,-,1,1,0,"['Biogeosciences , Fold (geology) , Geology , Paleontology , Principal stress , Tectonics , Thrust']",no current information
711,Helin Yu,https://www.lens.org/lens/orcid/0000-0003-1835-9153/scholar,6,67%,5,85,4,"['Biology , Chemistry , Streptomyces , Streptomyces xiamenensis , Endogeny , Genetics , Stereochemistry , Amidase , Anaplastic large-cell lymphoma , Antibody']","BeiGene (Beijing) Co., Ltd."
712,Zhou Zhou-zhou,https://www.lens.org/lens/orcid/0000-0002-5156-3642/scholar,1,100%,1,2,0,"['Computer science , Electroencephalography , Feature (computer vision) , Gait (human) , Motor coordination , Motor imagery , Neuroplasticity , Physical medicine and rehabilitation , Stroke , Support vector machine']",no current information
713,Yongli LI,https://www.lens.org/lens/orcid/0000-0002-5617-8866/scholar,36,79%,11,346,0,"['Computer science , Data mining , Artificial intelligence , Machine learning , Economics , Centrality , Network analysis , Node (networking) , Social network , Mathematics']",Northeastern University
714,Hongying Li,https://www.lens.org/lens/orcid/0000-0002-5089-1134/scholar,10,100%,6,411,4,"['Geography , Biology , Coronavirus disease 2019 (COVID-19) , Disease , Environmental health , Infectious disease (medical specialty) , Medicine , Pathology , Ecology , Environmental planning']",EcoHealth Alliance
715,Huiru Wang,https://www.lens.org/lens/orcid/0000-0003-0564-7439/scholar,1,100%,1,12,0,"['Acceptor , Analytical chemistry , Dopant , Electron mobility , Indium , Indium gallium zinc oxide , Materials science , Shallow donor , Subthreshold slope , Thin-film transistor']",no current information
716,Eric Lorio,https://www.lens.org/lens/orcid/0000-0002-7811-0192/scholar,3,-,3,55,0,"['Medicine , ABCB11 , Ataxia-telangiectasia , Autophagy , Benign Recurrent Intrahepatic Cholestasis , Bile duct , Biology , Cell biology , Cholestasis , Chronic cholestasis']",The University of Texas Health Science Center at San Antonio
717,de Heer,https://www.lens.org/lens/orcid/0000-0003-1950-8683/scholar,9,67%,4,280,17,"['Medicine , Internal medicine , ARDS , Intensive care , Intensive care unit , SAPS II , Clinical endpoint , Confidence interval , Coronavirus disease 2019 (COVID-19) , Disease']",no current information
718,Anthony Cordingley,https://www.lens.org/lens/orcid/0000-0002-8630-6662/scholar,1,100%,-,0,0,"['Art , Artificial intelligence , Computer science , Creativity , Criticism , Epistemology , Linguistics , Literary criticism , Literary translation , Literature']",The University of Sydney
719,Florian Le Goupil,https://www.lens.org/lens/orcid/0000-0002-9412-2572/scholar,20,55%,83%,,652,"['Materials science , Electrocaloric effect , Electric field , Permittivity , Ceramic , Analytical chemistry , Chemistry , Composite material , Condensed matter physics , Ferroelectricity']",Bordeaux INP
720,Matthew Formstone,https://www.lens.org/lens/orcid/0000-0002-8320-1996/scholar,1,100%,-,0,0,[''],no current information
721,Tanuj Sapra,https://www.lens.org/lens/orcid/0000-0001-6945-0876/scholar,26,69%,20,"1,500",26,"['Biophysics , Chemistry , Force spectroscopy , Membrane protein , Protein folding , Bacteriorhodopsin , Biology , Nanotechnology , Protein structure , Cell biology']",no current information
722,Tiangang Liu,https://www.lens.org/lens/orcid/0000-0001-8087-0345/scholar,54,90%,14,802,8,"['Chemistry , Biochemistry , Biology , Enzyme , Biosynthesis , Computational biology , Gene , Computer science , Medicine , Genetics']",no current information
723,Fayin zhu,https://www.lens.org/lens/orcid/0000-0003-0311-740X/scholar,14,43%,10,706,28,"['Metabolic engineering , Biochemistry , Biology , Chemistry , Escherichia coli , Fermentation , Overproduction , Biosynthesis , Food science , Hydrolysate']",Rice University
724,Liu Bo,https://www.lens.org/lens/orcid/0000-0002-8908-0777/scholar,3,67%,2,18,3,"['Artificial intelligence , Computer science , Deep learning , Artificial neural network , Computer architecture , Data migration , High memory , Reuse , Bandwidth (signal processing) , Bottleneck']",
725,Junkai,https://www.lens.org/lens/orcid/0000-0002-6407-6173/scholar,17,88%,9,174,0,"['Materials science , Doping , Analytical chemistry , Chemical engineering , Condensed matter physics , Photocatalysis , Composite material , Conductivity , Diffraction , Electrochemistry']",no current information
726,You-Jun Lin,https://www.lens.org/lens/orcid/0000-0003-0985-6027/scholar,5,40%,3,19,0,"['Physics , Wing , Aerodynamics , Flapping , Lift (force) , Thrust , Wake , Acoustics , Aerodynamic force , Aeroelasticity']",no current information
727,Junkai,https://www.lens.org/lens/orcid/0000-0002-6407-6173/scholar,17,88%,9,174,0,"['Materials science , Doping , Analytical chemistry , Chemical engineering , Condensed matter physics , Photocatalysis , Composite material , Conductivity , Diffraction , Electrochemistry']",no current information
728,Lixi Niu,https://www.lens.org/lens/orcid/0000-0001-7933-3112/scholar,1,100%,-,0,0,"['Amino acid , Anatomy , Biocatalysis , Biochemistry , Bioconversion , Biology , Catalysis , Chemistry , Chromatography , Ecology']",no current information
729,Binsheng Gong,https://www.lens.org/lens/orcid/0000-0002-8724-5435/scholar,32,68%,12,"1,805",13,"['Biology , Computational biology , Genetics , Gene , Computer science , RNA-Seq , Data mining , DNA microarray , microRNA , Deep sequencing']",National Center for Toxicological Research
730,Yawei Shi,https://www.lens.org/lens/orcid/0000-0002-2608-4893/scholar,24,73%,7,186,2,"['Chemistry , Materials science , Chemical engineering , Engineering , Organic chemistry , Physics , Adsorption , Biology , Catalysis , Optics']",no current information
731,Li Jiao,https://www.lens.org/lens/orcid/0000-0003-4386-2340/scholar,12,92%,7,118,0,"['Chemistry , Stereochemistry , Absolute configuration , Gorgonian , South china , Biology , Bioassay , Coral , Growth inhibitory , In vitro']",Shanghai Tenth People's Hospital
732,Jiao Chuanlai,https://www.lens.org/lens/orcid/0000-0002-3753-1695/scholar,2,-,2,48,0,"['Catalysis , Chemical engineering , Materials science , Nickel , Oxygen evolution , Water splitting , Alkaline water electrolysis , Carbon , Electrocatalyst , Electrochemistry']",no current information
733,Tiantian Hao,https://www.lens.org/lens/orcid/0000-0002-9800-1356/scholar,3,100%,1,3,0,"['Antioxidant , Artificial intelligence , Bioavailability , Biology , Carbon-13 NMR , Cell biology , Chemistry , Combinatorial chemistry , Computer science , Computer vision']",no current information
734,Kuang-Hua Hou,https://www.lens.org/lens/orcid/0000-0002-1331-2025/scholar,7,86%,5,95,1,"['Materials science , Sputter deposition , Sputtering , Substrate (electronics) , Analytical chemistry , Biomedical engineering , Partial pressure , Thin film , Titanium dioxide , Absorptance']",no current information
735,Liqiang Liu,https://www.lens.org/lens/orcid/0000-0002-5706-7930/scholar,2,50%,1,2,0,"['Artificial intelligence , BitTorrent tracker , Computer science , Computer vision , Discriminative model , Eye tracking , Mathematics , Object (grammar) , Pattern recognition (psychology) , Video tracking']",no current information
736,Deng YU,https://www.lens.org/lens/orcid/0000-0003-2343-3688/scholar,5,100%,4,40,0,"['Computer science , Artificial intelligence , Sketch , Convolutional neural network , Image retrieval , Object (computer science) , Pattern recognition , Algorithm , Artificial neural network , Biochemistry']",City University of Hong Kong
737,Shenghu Zhou,https://www.lens.org/lens/orcid/0000-0002-7058-430X/scholar,19,37%,12,470,13,"['Chemistry , Metabolic engineering , Biochemistry , Biology , Escherichia coli , Flux (metabolism) , Biosynthesis , Combinatorial chemistry , Enzyme , Fermentation']",Jiangnan University
738,Xiaoqian Niu,https://www.lens.org/lens/orcid/0000-0002-4732-143X/scholar,3,67%,3,100,0,"['Environmental science , Groundwater , Agricultural land , Aquifer , Arsenic , Contamination , Environmental chemistry , Geochemistry , Geology , Geotechnical engineering']","Key Laboratory of Ecosystems Network Observation and Modeling, Master"
739,Li Guohui,https://www.lens.org/lens/orcid/0000-0002-9109-7324/scholar,17,94%,6,161,0,"['Geology , Seismology , Subduction , Mantle (geology) , Transition zone , Slab , Partial melting , Induced seismicity , Lithosphere , Petrology']",no current information
740,Mao Mao,https://www.lens.org/lens/orcid/0000-0003-0605-3579/scholar,3,33%,2,10,0,"['Materials science , Bilayer , Carrier scattering , Condensed matter physics , Conductivity , Crystallite , Electric heating , Electrical resistivity and conductivity , Fabrication , Focal length']",no current information
741,hongyao xu,https://www.lens.org/lens/orcid/0000-0001-6771-9667/scholar,1,-,1,7,0,"['Chemo-radiotherapy , Medicine , Multivariate analysis , Overall survival , Propensity score matching , Radiation therapy , Radiology , Squamous cell cancer , Tumor length , Tumor size']",Shantou Central Hospital
742,Mikhail Skaptsov,https://www.lens.org/lens/orcid/0000-0002-4884-0768/scholar,16,90%,3,27,0,"['Biology , Botany , Gene , Pollen , Stamen , Genetics , Geography , Ploidy , Ecology , Nuclear DNA']",no current information
743,Maksim Kutsev,https://www.lens.org/lens/orcid/0000-0003-2284-6851/scholar,9,33%,2,8,0,"['Biology , Botany , Genetics , Horticulture , In vitro , Adsorption , Agronomy , Anatase , Bacteria , Biochemistry']",Altai State University
744,Olga Uvarova,https://www.lens.org/lens/orcid/0000-0001-6260-9696/scholar,2,100%,1,1,0,"['Computer science , Carbon , Chemical physics , Chemistry , Computational chemistry , Crystal (programming language) , Fluorocarbon , Interatomic potential , Materials science , Molecular dynamics']",Moscow Aviation Institute
745,Zengyi Chang,https://www.lens.org/lens/orcid/0000-0002-8386-7499/scholar,7,71%,3,20,0,"['Chemistry , Biology , Cell biology , Biophysics , Amino acid , Gene , A protein , ATP synthase , Amino acid residue , Bacteria']",Peking University
746,Jiayu Yu,https://www.lens.org/lens/orcid/0000-0001-8504-5272/scholar,2,-,1,5,0,"['Anode , Carbon fibers , Chemistry , Composite material , Composite number , Electrode , Endocrinology , Lithium (medication) , Materials science , Medicine']",no current information
747,Gary Latham,https://www.lens.org/lens/orcid/0000-0002-9263-3475/scholar,2,100%,2,53,0,"['Biology , Genetics , Allele , Autism spectrum disorder , DNA , DNA methylation , FMR1 , Fragile X syndrome , Genetic disorder , Genotype']",Asuragen
748,Reko Kemppainen,https://www.lens.org/lens/orcid/0000-0001-9315-2596/scholar,3,100%,3,60,0,"['Magnetic resonance imaging , Computer science , External beam radiation , Radiation therapy , Accuracy and precision , Analysis software , Artificial intelligence , Cancer , Computed tomography , Computer vision']",Philips MR Therapy
749,Junbo,https://www.lens.org/lens/orcid/0000-0002-1666-3584/scholar,44,47%,15,779,4,"['Chemistry , Chromatography , Detection limit , High-performance liquid chromatography , Biology , Formic acid , Mass spectrometry , Electrospray ionization , In vivo , Pharmacology']",Tianjin University of Traditional Chinese Medicine
750,Joshua Jarrell,https://www.lens.org/lens/orcid/0000-0003-1041-8729/scholar,7,67%,3,57,0,"['Computer science , Environmental science , Dry storage , Enriched uranium , Memetic algorithm , Nuclear engineering , Radiation transport , Action plan , Aerospace engineering , Astrobiology']",Idaho National Laboratory
751,Alaa Shair,https://www.lens.org/lens/orcid/0000-0001-9835-7144/scholar,1,100%,1,8,0,"['Adsorption , Bromocresol green , Bromophenol blue , Chemistry , Coating , Fourier transform infrared spectroscopy , Matrix (chemical analysis) , Nuclear chemistry , Particle size , Surface coating']",no current information
752,Xiaofeng Gu,https://www.lens.org/lens/orcid/0000-0002-5560-6419/scholar,3,50%,3,30,0,"['Materials science , Electron , Beam (structure) , Beam electron , Benchmarking , Cathode ray , Gaussian beam , High current , Ion , Ion beam']",no current information
753,Igor Paramonov,https://www.lens.org/lens/orcid/0000-0002-7205-912X/scholar,16,47%,1,31,0,"['Biology , Human leukocyte antigen , Allele , Genetics , Medicine , Antigen , Haplotype , Population , Gene , Internal medicine']",no current information
754,Siarhei Yurevich,https://www.lens.org/lens/orcid/0000-0002-3012-4165/scholar,5,75%,2,13,0,"['Superconductivity , Superconducting radio frequency , Niobium , Physics , Materials science , Q factor , Welding , Atomic physics , Beam (structure) , Composite material']",Physical-Technical Institute of the National Academy of Sciences of Belarus
755,Konakova Tatyana,https://www.lens.org/lens/orcid/0000-0001-8741-7324/scholar,0,-,-,0,0,[''],no current information
756,Dmitry Yankevich,https://www.lens.org/lens/orcid/0000-0001-5143-7366/scholar,23,70%,3,26,0,"['Medicine , Health care , Internal medicine , Business , Blood pressure , Economics , Insulin resistance , Knowledge management , Law , Orthostatic vital signs']",Federal Research and Clinical Center of Intensive Care Medicine and Rehabilitology
757,Liu Xiaoqing,https://www.lens.org/lens/orcid/0000-0002-1021-2045/scholar,1,100%,-,0,0,"['Animal science , Benthic zone , Biology , Common carp , Cyprinus , Hypophthalmichthys , Pelagic zone , Silver carp , Supersaturation , Survival probability']",no current information
758,Rumei Chen,https://www.lens.org/lens/orcid/0000-0003-4449-3081/scholar,7,100%,4,70,0,"['Biology , Cell biology , Gene , Botany , Endosperm , Mutant , Shoot , Zinc , Aleurone , Biochemistry']",no current information
759,Suzhen Li,https://www.lens.org/lens/orcid/0000-0001-7498-7950/scholar,2,100%,2,7,0,"['Aleurone , Alternative medicine , Archaeology , Biology , Carboplatin , Cell biology , Chemotherapy , Cisplatin , Clinical endpoint , Clinical trial']",no current information
760,Zhizhen Li,https://www.lens.org/lens/orcid/0000-0003-2538-3311/scholar,2,50%,1,5,0,"['Alloy , Amorphous solid , Chemical engineering , Coating , Corrosion , Crystallization , Materials science , Adsorption , Amorphous metal , Anode']",no current information
761,Zhanyong Guo,https://www.lens.org/lens/orcid/0000-0002-2143-6933/scholar,52,90%,16,713,3,"['Chemistry , Chitosan , Nuclear chemistry , Antioxidant , Organic chemistry , DPPH , Biology , Cytotoxicity , Fusarium oxysporum , Ammonium']",no current information
762,Piwu Li,https://www.lens.org/lens/orcid/0000-0002-2134-4641/scholar,1,-,1,3,0,"['Ammonium , Carbon , Catalase , Chemistry , Environmental pollution , Food science , Glucose oxidase , Hydrolysis , Potato starch , Wastewater']",Qilu University of Technology of college of Bioengineering
